run,group,largest_update,population,genotypes,total_weighted_instructions,instruction_symbol,instruction_name,weighted_count,proportion,detail_spop
ecology_test_1_fast_run_4,ecology_test_1_fast,0,172,2,17200,e,if-not-0,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_4/data/detail-0.spop
ecology_test_1_fast_run_4,ecology_test_1_fast,0,172,2,17200,f,if-les-0,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_4/data/detail-0.spop
ecology_test_1_fast_run_4,ecology_test_1_fast,0,172,2,17200,g,if-grt-0,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_4/data/detail-0.spop
ecology_test_1_fast_run_4,ecology_test_1_fast,0,172,2,17200,h,if-label,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_4/data/detail-0.spop
ecology_test_1_fast_run_4,ecology_test_1_fast,0,172,2,17200,i,zero,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_4/data/detail-0.spop
ecology_test_1_fast_run_4,ecology_test_1_fast,0,172,2,17200,j,inc,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_4/data/detail-0.spop
ecology_test_1_fast_run_4,ecology_test_1_fast,0,172,2,17200,k,dec,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_4/data/detail-0.spop
ecology_test_1_fast_run_4,ecology_test_1_fast,0,172,2,17200,l,push,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_4/data/detail-0.spop
ecology_test_1_fast_run_4,ecology_test_1_fast,0,172,2,17200,m,pop,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_4/data/detail-0.spop
ecology_test_1_fast_run_4,ecology_test_1_fast,0,172,2,17200,n,swap-stk,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_4/data/detail-0.spop
ecology_test_1_fast_run_4,ecology_test_1_fast,0,172,2,17200,o,swap,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_4/data/detail-0.spop
ecology_test_1_fast_run_4,ecology_test_1_fast,0,172,2,17200,p,add,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_4/data/detail-0.spop
ecology_test_1_fast_run_4,ecology_test_1_fast,0,172,2,17200,q,sub,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_4/data/detail-0.spop
ecology_test_1_fast_run_4,ecology_test_1_fast,0,172,2,17200,r,nand,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_4/data/detail-0.spop
ecology_test_1_fast_run_4,ecology_test_1_fast,0,172,2,17200,s,repro,400,0.023255813953488372,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_4/data/detail-0.spop
ecology_test_1_fast_run_4,ecology_test_1_fast,0,172,2,17200,t,repro-semel,72,0.004186046511627907,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_4/data/detail-0.spop
ecology_test_1_fast_run_4,ecology_test_1_fast,0,172,2,17200,u,move,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_4/data/detail-0.spop
ecology_test_1_fast_run_4,ecology_test_1_fast,0,172,2,17200,v,rotate-left-one,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_4/data/detail-0.spop
ecology_test_1_fast_run_4,ecology_test_1_fast,0,172,2,17200,w,rotate-right-one,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_4/data/detail-0.spop
ecology_test_1_fast_run_4,ecology_test_1_fast,0,172,2,17200,x,sense-resource0,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_4/data/detail-0.spop
ecology_test_1_fast_run_4,ecology_test_1_fast,0,172,2,17200,y,sense-faced-resource0,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_4/data/detail-0.spop
ecology_test_1_fast_run_5,ecology_test_1_fast,0,174,2,17400,a,nop-B,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_5/data/detail-0.spop
ecology_test_1_fast_run_5,ecology_test_1_fast,0,174,2,17400,b,nop-C,16926,0.9727586206896551,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_5/data/detail-0.spop
ecology_test_1_fast_run_5,ecology_test_1_fast,0,174,2,17400,c,if-n-equ,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_5/data/detail-0.spop
ecology_test_1_fast_run_5,ecology_test_1_fast,0,174,2,17400,d,if-less,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_5/data/detail-0.spop
ecology_test_1_fast_run_5,ecology_test_1_fast,0,174,2,17400,e,if-not-0,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_5/data/detail-0.spop
ecology_test_1_fast_run_5,ecology_test_1_fast,0,174,2,17400,f,if-les-0,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_5/data/detail-0.spop
ecology_test_1_fast_run_5,ecology_test_1_fast,0,174,2,17400,g,if-grt-0,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_5/data/detail-0.spop
ecology_test_1_fast_run_5,ecology_test_1_fast,0,174,2,17400,h,if-label,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_5/data/detail-0.spop
ecology_test_1_fast_run_5,ecology_test_1_fast,0,174,2,17400,i,zero,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_5/data/detail-0.spop
ecology_test_1_fast_run_5,ecology_test_1_fast,0,174,2,17400,j,inc,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_5/data/detail-0.spop
ecology_test_1_fast_run_5,ecology_test_1_fast,0,174,2,17400,k,dec,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_5/data/detail-0.spop
ecology_test_1_fast_run_5,ecology_test_1_fast,0,174,2,17400,l,push,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_5/data/detail-0.spop
ecology_test_1_fast_run_5,ecology_test_1_fast,0,174,2,17400,m,pop,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_5/data/detail-0.spop
ecology_test_1_fast_run_5,ecology_test_1_fast,0,174,2,17400,n,swap-stk,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_5/data/detail-0.spop
ecology_test_1_fast_run_5,ecology_test_1_fast,0,174,2,17400,o,swap,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_5/data/detail-0.spop
ecology_test_1_fast_run_5,ecology_test_1_fast,0,174,2,17400,p,add,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_5/data/detail-0.spop
ecology_test_1_fast_run_5,ecology_test_1_fast,0,174,2,17400,q,sub,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_5/data/detail-0.spop
ecology_test_1_fast_run_5,ecology_test_1_fast,0,174,2,17400,r,nand,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_5/data/detail-0.spop
ecology_test_1_fast_run_5,ecology_test_1_fast,0,174,2,17400,s,repro,400,0.022988505747126436,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_5/data/detail-0.spop
ecology_test_1_fast_run_5,ecology_test_1_fast,0,174,2,17400,t,repro-semel,74,0.004252873563218391,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_5/data/detail-0.spop
ecology_test_1_fast_run_5,ecology_test_1_fast,0,174,2,17400,u,move,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_5/data/detail-0.spop
ecology_test_1_fast_run_5,ecology_test_1_fast,0,174,2,17400,v,rotate-left-one,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_5/data/detail-0.spop
ecology_test_1_fast_run_5,ecology_test_1_fast,0,174,2,17400,w,rotate-right-one,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_5/data/detail-0.spop
ecology_test_1_fast_run_5,ecology_test_1_fast,0,174,2,17400,x,sense-resource0,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_5/data/detail-0.spop
ecology_test_1_fast_run_5,ecology_test_1_fast,0,174,2,17400,y,sense-faced-resource0,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_5/data/detail-0.spop
ecology_test_1_fast_run_6,ecology_test_1_fast,0,175,2,17500,a,nop-B,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_6/data/detail-0.spop
ecology_test_1_fast_run_6,ecology_test_1_fast,0,175,2,17500,b,nop-C,17025,0.9728571428571429,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_6/data/detail-0.spop
ecology_test_1_fast_run_6,ecology_test_1_fast,0,175,2,17500,c,if-n-equ,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_6/data/detail-0.spop
ecology_test_1_fast_run_6,ecology_test_1_fast,0,175,2,17500,d,if-less,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_6/data/detail-0.spop
ecology_test_1_fast_run_6,ecology_test_1_fast,0,175,2,17500,e,if-not-0,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_6/data/detail-0.spop
ecology_test_1_fast_run_6,ecology_test_1_fast,0,175,2,17500,f,if-les-0,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_6/data/detail-0.spop
ecology_test_1_fast_run_6,ecology_test_1_fast,0,175,2,17500,g,if-grt-0,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_6/data/detail-0.spop
ecology_test_1_fast_run_6,ecology_test_1_fast,0,175,2,17500,h,if-label,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_6/data/detail-0.spop
ecology_test_1_fast_run_6,ecology_test_1_fast,0,175,2,17500,i,zero,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_6/data/detail-0.spop
ecology_test_1_fast_run_6,ecology_test_1_fast,0,175,2,17500,j,inc,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_6/data/detail-0.spop
ecology_test_1_fast_run_6,ecology_test_1_fast,0,175,2,17500,k,dec,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_6/data/detail-0.spop
ecology_test_1_fast_run_6,ecology_test_1_fast,0,175,2,17500,l,push,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_6/data/detail-0.spop
ecology_test_1_fast_run_6,ecology_test_1_fast,0,175,2,17500,m,pop,0,0.0,/Users/alinaqvi/Desktop/github_projects/avida/work/ecology_test_1_fast_run_6/data/detail-0.spop
